name,description,symptoms,treating,causes/preventing,common state,link
Urticaria (hives),"Urticaria (hives) is a raised, itchy rash that appears on the skin. Children are often affected by the condition, as well as women aged 30 to 60, and people with a history of allergies. Hives rashes usually improve within a few minutes to a few days.","Urticaria may appear on one part of the body or be spread across large areas. 

It can lead to a red, raised, itchy rash. The rash can be in one place or spread through the body. The raised areas on the skin are sometimes called hives or weals.

The raised areas can range from a few millimetres to the size of a hand.

Doctors may call urticaria either:
- acute urticaria - if the rash clears completely within six weeks (most cases last 24 to 48 hours)
- chronic urticaria - in rarer cases, where the rash persists or comes and goes for more than six weeks, often over many years

A much rarer type of urticaria, known as urticarial vasculitis, can cause blood vessels inside the skin to become inflamed. 

In these cases, the raised areas or weals last longer than 24 hours, are more painful, and can leave a bruise.","Most cases of urticaria don't need treatment. This is because the symptoms are usually mild and often get better within a few days.

If the itchiness is causing you discomfort, antihistamines can help. Antihistamines are available over the counter at pharmacies. 

Your pharmacist can give you advice about the best treatment to treat the rash.

Your GP may consider a short course of steroid tablets (oral corticosteroids) for more severe cases of urticaria. This treatment is not used routinely.

If you have persistent urticaria, you may be referred to a skin specialist (dermatologist).","Urticaria occurs when a trigger causes high levels of histamine and other chemical messengers to be released in the skin. This extra fluid in the tissues causes swelling and itchiness.

Histamine is released for many reasons, including:
- an allergic reaction - such as a food allergy or a reaction to an insect bite or sting
- cold or heat exposure 
- infection - such as a cold
- certain medications - check the patient information leaflet with your medication to see if urticaria is a usual side effect; or if you need advice speak to your pharmacist or GP

In many cases of urticaria, no obvious cause can be found.

Some cases of long-term urticaria may be caused by the immune system mistakenly attacking healthy tissue. This can be difficult to treat, and your GP may refer you to a specialist  for tests and treatment.

Certain triggers may also make the symptoms worse. These include:
- drinking alcohol or caffeine
- emotional stress
- warm temperature",TRUE,https://www.nidirect.gov.uk/conditions/urticaria-hives
Nappy rash,Nappy rash occurs when the skin around the baby's nappy area becomes irritated. ,"There may be red patches on your baby's bottom, or the whole area may be red. Their skin may look sore and feel hot to touch, and there may be spots, pimples or blisters.","If your baby gets nappy rash, you can usually treat their skin yourself.

If the rash isn't upsetting your baby, at each nappy change apply a thin layer of a barrier cream to protect their skin. Ask your health visitor or pharmacist to recommend one.

Follow this advice to help look after your baby's skin.
- Change wet or dirty nappies as soon as possible.
- Clean the whole nappy area gently but thoroughly, wiping from front to back. Use water or fragrance-free and alcohol-free baby wipes. Read more about how to clean your baby and change your baby's nappy.
- Bath your baby daily - but avoid bathing them more than twice a day as that may dry out their skin.
- Dry your baby gently after washing them - avoid vigorous rubbing.
- Lie your baby on a towel and leave their nappy off for as long and as often as you can to let fresh air get to their skin.
- Do not use soap, bubble bath, or lotions.
- Do not use talcum powder as it contains ingredients that could irritate your baby's skin.
- Make sure your baby’s nappy fits properly. If it is too tight then it can irritate the skin and if it is too loose, then the nappy will not be able to soak up pee properly.

Nappy rash usually clears up after about 3 days if you follow this advice. You should keep following this advice as this will help prevent nappy rash from coming back.

If the rash is causing your baby discomfort, your health visitor or pharmacist can recommend a nappy rash cream to treat it.

You should apply the cream first and wait a few minutes before you apply the barrier cream.","Nappy rash can be caused by:
- your baby's skin being in contact with wee or poo for a long time
- the nappy rubbing against your baby's skin
- not cleaning the nappy area or changing the nappy often enough
- soap, detergent or bubble bath
- alcohol-based baby wipes
- some types of medicines, such as antibiotics or laxatives (used to make a baby poo more often)",TRUE,https://www.nhs.uk/conditions/baby/caring-for-a-newborn/nappy-rash/
"Hand, foot and mouth disease","Hand, foot and mouth disease typically affects children younger than 10 years of age, and most commonly occurs in children younger than 4 years of age. It can affect adults. It’s a viral infection not needing an antibiotic and usually clears up by itself in 7 to 10 days.","The first signs of hand, foot and mouth disease can be:
- a sore throat
- a high temperature, above 38C
- not wanting to eat

After a few days mouth ulcers and a rash will appear. Ulcers appear in the mouth and on the tongue. These can be painful and make it difficult to eat or drink.

Red spots, which develop into blisters, usually appear on the hands and feet. The blisters are grey in the centre and can be painful.

The symptoms are usually the same in adults and children, but they can be much worse in adults.

It's possible to get hand, foot and mouth disease more than once.

Hand, foot and mouth disease has nothing to do with foot and mouth disease that affects farm animals.","#How to treat the condition yourself
You can't take antibiotics or medicines to cure hand, foot and mouth disease - it has to run its course. It usually gets better in 7 to 10 days.

To help with the symptoms:
- drink fluids to prevent dehydration - avoid acidic drinks such as fruit juice
- eat soft foods like soup - avoid hot and spicy foods
- take paracetamol(external link opens in a new window / tab) or ibuprofen(external link opens in a new window / tab) to help ease a sore mouth or throat

#A pharmacist can help
A pharmacist can help with hand, foot and mouth disease

Speak to your pharmacist for advice about treatments, such as mouth ulcer gels, sprays and mouthwashes to relieve pain.

They can tell you which ones are suitable for children.","#How to stop the condition spreading
Hand, foot and mouth disease is easily passed on to other people. It's spread in coughs, sneezes and poo.

You're infectious from a few days before you have any symptoms. But you're most likely to give it to others in the first 5 days after symptoms start.

To reduce the risk of spreading hand, foot and mouth disease:
- wash your hands often with warm soapy water - and teach children to do so
- use tissues to trap germs when you cough or sneeze
- bin used tissues as quickly as possible
- don't share towels or household items - like cups or cutlery
- wash soiled bedding and clothing on a hot wash

#Staying off school or nursery
Keep your child off school or nursery while they are feeling unwell.

But as soon as they're feeling better, they can go back to school or nursery. There's no need to wait until all the blisters have healed. Keeping your child off for longer is unlikely to stop the illness spreading.",TRUE,https://www.nidirect.gov.uk/conditions/hand-foot-and-mouth-disease
Impetigo,"Impetigo is a common and highly contagious skin infection that causes sores and sometimes blisters. It's not usually serious and often improves within a week of treatment. Impetigo can affect people of any age, but it tends to affect children more often than adults.","There are two main types of impetigo:
- the most common type is known as non-bullous impetigo, in which blisters are not present
- the less common form, bullous impetigo, in which fluid-filled blisters (bullae) are present

With non-bullous impetigo there are usually no significant symptoms, although there may be some itching.

Other symptoms are uncommon unless the infection is widespread. In bullous impetigo, the area of the blisters tends to be painful and symptoms such as weakness, fever, and diarrhoea are more common.

Since non-bullous impetigo does not usually cause any symptoms, people can easily pass the infection on to others without realising it.

Good hygiene measures are important to help healing and stop the infection spreading to other parts of the body and to other people.

The symptoms of non-bullous and bullous impetigo are described below.

#Non-bullous impetigo 
The symptoms of non-bullous impetigo:
- Begin with the appearance of red sores - usually around the nose and mouth but other areas of the face and the limbs can also be affected
- The sores quickly burst leaving behind thick, golden crusts typically around 2cm across - the appearance of these crusts is sometimes likened to cornflakes stuck to the skin
- After the crusts dry, they leave a red mark that usually heals without scarring - the time it takes for the redness to disappear can vary between a few days and a few weeks
- The sores are not painful, but they may be itchy - It's important not to touch, or scratch, the sores because this can spread the infection to other parts of your body, and to other people

Other symptoms, such as a high temperature (fever) and swollen glands, are rare but can occur in more severe cases.

#Bullous impetigo 
The symptoms of bullous impetigo:
- Begin with the appearance of fluid-filled blisters (bullae) which usually occur on the trunk (the central part of the body between the waist and neck) or on the arms and legs and are usually about 1-2cm across
- The blisters may quickly spread, before bursting after several days - this exposes a raw and painful skin lesion, before forming a leave a yellow crust that usually heals without leaving any scarring
- The blisters may be painful and the area of skin surrounding them may be itchy - as with non-bullous impetigo, it is important that you do not touch or scratch the affected areas of the skin

Symptoms of weakness, fever, diarrhoea and swollen glands are more common in cases of bullous impetigo.","Impetigo usually gets better without treatment in about two to three weeks. However, treatment is often recommended because it can reduce the length of the illness to around seven to 10 days. It can also help lower the risk of the infection being spread to others.

The main treatments prescribed are antibiotic creams or antibiotic tablets. These usually have to be used for about a week.

During treatment, it's important to take precautions to minimise the risk of impetigo spreading to other people or other areas of the body, such as by:
- not touching the sores whenever possible
- washing your hands regularly 
- not sharing flannels, sheets or towels
- staying away from work, school, nursery, playgroup or childminders until lesions are crusted and healed, or 48 hours after antibiotic treatment has started  

Most people are no longer contagious after 48 hours of treatment or once their sores have dried and healed.","As impetigo is a highly contagious condition, it is important to take precautions to reduce the risk of the infection spreading.

The advice below can help to prevent the spread of the infection to other people or to other areas of the body:
- Stay away from work, school, nursery, playgroup or childminders (or other places where the infection could be spread) until lesions are crusted and healed, or 48 hours after antibiotic treatment has started
- Don't share flannels, sheets or towels with anyone who has impetigo, and wash them at a high temperature after use
- Wash the sores with soap and water, and cover them loosely with a gauze bandage or clothing if possible
- Avoid touching the sores, or letting others touch them, whenever possible
- Don't scratch the affected areas and make sure your or your child's nails are kept clean and short to reduce the risk of further damage caused by scratching
- Avoid contact with new-born babies, preparing food, playing contact sports, or going to the gym until the risk of infection has passed (when the rash has crusted over, or after at least 48 hours of treatment with antibiotics)
- Wash your hands often, particularly after touching infected skin
- Washable toys should also be washed - wipe non-washable soft toys thoroughly with a cloth that has been wrung out in detergent and warm water and allowed to dry completely",TRUE,https://www.nidirect.gov.uk/conditions/impetigo
Ringworm,"Ringworm is a common fungal infection that can cause a red or silvery ring-like rash on the skin. Ringworm commonly affects arms and legs, but it can appear almost anywhere on the body. Despite its name, ringworm doesn't have anything to do with worms.","The symptoms of ringworm include: 
- a ring-like red or silvery rash on your skin - your skin will look red and irritated around the ring, but healthy inside
- scaly, itchy and inflamed skin 

In more severe cases:  
- he rings may multiply, grow in size and merge together 
- the rings may feel slightly raised and the skin underneath may be itchy 
- blisters and pus-filled sores may form around the rings 

The ring spreads outwards as it progresses. You can have one patch or several patches of ringworm.  In more serious cases, your skin may become raised and blistered.

#Head, face and neck ringworm
Ringworm on the face and neck may not appear ring-shaped, but may be itchy and swollen, and it can become dry and crusted. 

If you have a beard, you may notice patches of hair breaking away, or patches of hair loss on your head if you have ringworm infection in the scalp.

#Hand ringworm
Ringworm on the hand often causes the skin to become thicker on the palm and in between the fingers. It may affect one hand or both and normally only appears on one side.","Most ringworm infections are mild and can be treated by an antifungal cream from your local pharmacy.

Talk to your pharmacist first, and you may also need to see your GP to confirm a diagnosis.

Scalp infections can be treated with antifungal tablets, sometimes together with antifungal shampoo.

If the skin is irritated or broken, it can lead to other bacterial infections, which may need treatment with antibiotics.","It's important to prevent the infection spreading. You should avoid sharing towels, bedding or clothes with someone with a fungal infection.

If you think your pet has ringworm, take it to the vet. If your pet is treated quickly, you’ll be less likely to catch it.

If your child has a fungal infection, they can go to school, but you should let their teacher know.",TRUE,https://www.nidirect.gov.uk/conditions/ringworm
Scabies,"Scabies is a skin condition caused by tiny mites that burrow into the skin. It can be spread from one person to another. Visit your GP if you think you have scabies. It's not usually a serious condition, but it does need to be treated.","Cellulitis is usually treated with antibiotics.

Many infections can be treated with antibiotic tablets at home.

You'll usually be given a course of tablets to take, and your symptoms should start to improve after a few days.

Make sure you complete the whole course of medicine you've been given, even if you're feeling better. Contact your GP if your symptoms get worse after a few days or don't improve within a week.

For serious infections, treatment is usually started in hospital. You'll normally be given antibiotics directly into a vein.","Visit your GP if you think you have scabies. It's not usually a serious condition, but it does need to be treated.

Your GP will discuss your treatment with you. The treatments most widely used are a cream and lotion.

If your partner has been diagnosed with genital scabies, to avoid reinfection you should visit your nearest sexual health clinic. This is so you can be checked and, if necessary, treated.

Avoid having sex and other forms of close bodily contact until both you and your partner have completed the full course of treatment.","Scabies is usually spread through long periods of skin-to-skin contact with an infected person, or through sexual contact.

It's also possible - but rare - for scabies to be passed on by sharing clothing, towels and bedding with someone who's infected.

It can take up to eight weeks for the symptoms of scabies to appear after the initial infection.",TRUE,https://www.nidirect.gov.uk/conditions/scabies
Slapped cheek syndrome,Slapped cheek syndrome (fifth disease) is common in children and should clear up on its own within three weeks. It's rarer in adults but can be more serious.,"#How to check if it's slapped cheek syndrome
The first sign of slapped cheek syndrome is usually feeling unwell for a few days. Symptoms may include:
- a high temperature of 38C or more
- a runny nose and sore throat
- headache

After one to three days, a bright red rash usually appears on both cheeks. Adults don't always get the rash. 

After one to three days with a cheek rash, a light-pink body rash may appear. The skin is raised and can be itchy.

#How long it lasts
The cheek rash normally fades within two weeks.

The body rash also fades within two weeks. It sometimes comes and goes for up to a month - especially if you're exercising, hot, anxious or stressed.

Adults might also have joint pain and stiffness. This can continue for many weeks, even after the other symptoms have gone.","You don't usually need to see a GP for slapped cheek syndrome. There are some things you can do to help ease symptoms while it clears up.

These include:
- resting
- drinking plenty of fluids to avoid dehydration - babies should continue their normal feeds
- taking paracetamol (external link opens in a new window / tab)or ibuprofen(external link opens in a new window / tab) for a high temperature, headaches or joint pain
- using moisturiser on itchy skin
- speaking to a pharmacist if you have itchy skin - they can recommend the best antihistamine for children

Aspirin should never be given to children under the age of 16.

Tell your midwife or GP if you're pregnant or have a weakened immune system and have been near someone with slapped cheek syndrome.","It's hard to avoid spreading slapped cheek syndrome because most people don't know they have it until they get the rash. You can only spread the infection to other people before the rash appears.

Slapped cheek syndrome is caused by a virus. The virus spreads to other people, surfaces or objects by coughing or sneezing near them.

To reduce the risk of spreading the virus:
- wash your hands often with warm water and soap
- use tissues to trap germs when you cough or sneeze
- bin used tissues as quickly as possible

You don't have to stay off work or school after the rash appears. You should let the school or teacher know if your child has slapped cheek syndrome.",TRUE,https://www.nidirect.gov.uk/conditions/slapped-cheek-syndrome
Meningitis,Meningitis is an infection of the protective membranes (layers) that surround the brain and spinal cord. Meningitis can be serious if not treated quickly. Call 999 for an ambulance or go to your nearest emergency department if you think you or your child might be seriously ill.,"Meningitis can affect anyone, but is common in babies, young children, teenagers and young adults. Symptoms of meningitis develop suddenly and can include: 
- a high temperature (fever) over 37.5C (99.5F)
- being sick
- a headache
- a blotchy rash that doesn't fade when a glass is rolled over it (this won't always develop)  
- a stiff neck
- a dislike of bright lights
- drowsiness or unresponsiveness
- seizures (fits)

Babies may also:
- refuse feeds
- be agitated and not want to be picked up
- have a bulging soft spot on their head (fontanelle)
- be floppy or unresponsive
- have an unusual high-pitched cry
- have a stiff body

These symptoms can appear in any order and some may not appear.","People with suspected meningitis will usually have tests in hospital to confirm the diagnosis and check whether the condition is the result of a viral or bacterial infection.

Bacterial meningitis usually needs to be treated in hospital for at least a week.

Viral meningitis tends to get better on its own within 7 to 10 days. It can often be treated at home. Getting plenty of rest and taking painkillers and anti-sickness medication can help relieve the symptoms in the meantime.","Meningitis is usually caused by a bacterial or viral infection. Bacterial meningitis is rarer but more serious than viral meningitis.

Infections that cause meningitis can be spread through:
- sneezing
- coughing
- kissing
- sharing cutlery and toothbrushes

Meningitis is usually caught from people who carry these viruses or bacteria in their nose or throat but aren't ill themselves. To be infected usually requires frequent or long periods of close contact.

It can also be caught from someone with meningitis, but this is less common.
",TRUE,https://www.nidirect.gov.uk/conditions/meningitis
Cellulitis,Cellulitis is an infection of the deeper layers of skin and below the skin. It can be serious if not treated quickly. This page contains information on the symptoms and causes of cellulitis and when to get medical advice.,"Cellulitis develops suddenly and can spread through the body quickly. Severe infections can spread deep into the body, and can be life threatening.

Cellulitis causes an area of skin to suddenly become:
-red
- hot
- swollen
- painful
- tender

It commonly affects the lower legs, but can occur anywhere. 

In more severe cases, cellulitis can also be accompanied by:
- a high temperature (fever) of 38C (100.4F) or above
- vigorous shaking (rigors)
- nausea and vomiting
- dizziness
- confusion

These are signs that the infection has spread deeper into the body.","Cellulitis is usually treated with antibiotics.

Many infections can be treated with antibiotic tablets at home.

You'll usually be given a course of tablets to take, and your symptoms should start to improve after a few days.

Make sure you complete the whole course of medicine you've been given, even if you're feeling better. Contact your GP if your symptoms get worse after a few days or don't improve within a week.

For serious infections, treatment is usually started in hospital. You'll normally be given antibiotics directly into a vein.","If you've had cellulitis before, you're more likely to get it again.

It's not always possible to prevent it, but the following measures may help reduce your risk:
- use moisturiser if your skin is dry or prone to cracking
- lose weight if you're overweight - being obese can increase your risk of cellulitis
- try to make sure any conditions that can increase your risk of cellulitis - such as eczema, athlete's foot, leg ulcers and lymphoedema - are well managed
- make sure any cuts, grazes or bites are kept clean - wash them under running tap water and cover them with a plaster or dressing
- wash your hands regularly - particularly when treating or touching a wound or skin condition

If you get cellulitis often or severely, your GP may refer you to a skin specialist called a dermatologist, or an infection specialist. They will discuss the option of taking antibiotics on a long-term basis to protect against further infections.",TRUE,https://www.nidirect.gov.uk/conditions/cellulitis
Erythema multiforme,"Erythema multiforme is usually a mild skin reaction triggered by an infection, or medication, ending in a few weeks.  Erythema multiforme major, a severe form, can be life-threatening. Erythema multiforme mainly affects adults under 40. See your GP as soon as possible if you think you have erythema multiforme.","Most people with erythema multiforme will just have a rash, but other symptoms can also sometimes occur.

#Rash
The rash comes on suddenly and develops over a few days. It tends to start on the hands or feet, before spreading to the limbs, upper body and face.

The rash:
- starts as small red spots, which may become raised patches a few centimetres in size
- often has patches that look like a target or ""bulls-eye"", with a dark red centre that may have a blister or crust, surrounded by a pale pink ring and a darker outermost ring
- may be slightly itchy or uncomfortable
- usually fades over two to four weeks

In more severe cases, the patches may join together to form large, red areas that may be raw and painful.

#Other symptoms
Additional symptoms of erythema multiforme can include:
- a high temperature (fever) of 38C (100.4F) or more
- a headache
- feeling generally unwell
- raw sores inside your mouth, making it hard to eat and drink
- swollen lips covered in crusts
- sores on the genitals, making it painful to pee
- sore, red eyes
- sensitivity to light and blurred vision
- aching joints 

These symptoms are more common in erythema multiforme major or a similar condition called Stevens-Johnson syndrome.","Treatment aims to tackle the underlying cause of the condition, relieve your symptoms and stop your skin becoming infected.

Your doctor may recommend:

stopping any medication that may be triggering your symptoms - do not try this without speaking to your doctor first
antihistamines(external link opens in a new window / tab) and moisturising cream(external link opens in a new window / tab) to reduce itching
steroid cream(external link opens in a new window / tab) to reduce redness and swelling (inflammation)
painkillers for any pain
antiviral tablets, if the cause is a viral infection
anaesthetic(external link opens in a new window / tab) mouthwash to ease the discomfort of any mouth sores
More severe cases may be treated in hospital. The doctor treating you will recommend the best course of action for you based on your symptoms.","The cause of erythema multiforme is often unclear, but some cases are the result of a reaction to an infection or medication.

The condition can't be passed from person to person.

#Infections
Most cases are caused by a viral infection - often the herpes simplex (cold sore) virus. This virus usually lies inactive in the body, but it can become reactivated from time to time.

Some people will get a cold sore a few days before the rash starts.

Erythema multiforme can also be triggered by mycoplasma bacteria, a type of bacteria that sometimes cause chest infections.

#Medication
Medication can occasionally cause the more severe form of erythema multiforme. Possible medication triggers include:
- certain types of antibiotics
- non-steroidal anti-inflammatory drugs (NSAIDs), such as ibuprofen
- anticonvulsants (used to treat epilepsy)",TRUE,https://www.nidirect.gov.uk/conditions/erythema-multiforme
